area,baths,beds,City,Zipcode,Price,Age
930.0,2.0,2.0,Seattle,98199,560000,49
3460.0,3.0,4.0,Seattle,98199,1500000,47
1053.0,2.0,2.0,Seattle,98199,470000,43
1680.0,3.0,3.0,Seattle,98199,1020000,43
3420.0,3.0,3.0,Seattle,98199,1480000,59
1177.0,2.0,2.0,Seattle,98199,618000,34
1760.0,2.0,3.0,Seattle,98199,990000,39
2400.0,3.0,4.0,Seattle,98199,1399900,54
1710.0,3.0,3.0,Seattle,98199,885000,46
1640.0,2.0,4.0,Seattle,98199,1025000,31
720.0,1.0,2.0,Seattle,98199,801000,31
3653.0,4.0,5.0,Seattle,98199,2245000,40
2240.0,3.0,4.0,Seattle,98199,1300000,30
3060.0,3.0,4.0,Seattle,98199,1871000,39
4870.0,4.0,4.0,Seattle,98199,2900000,44
1096.0,3.0,2.0,Seattle,98199,865000,38
1087.0,3.0,2.0,Seattle,98199,875000,45
1080.0,1.0,2.0,Seattle,98199,625000,49
2830.0,3.0,4.0,Seattle,98199,1900000,38
650.0,1.0,1.0,Seattle,98199,305000,42
633.0,1.0,1.0,Seattle,98199,305000,31
3080.0,3.0,3.0,Seattle,98199,1372000,39
1880.0,2.0,3.0,Seattle,98199,1185000,45
1670.0,2.0,3.0,Seattle,98199,1095000,32
0.0,,,Seattle,98199,1267500,48
2860.0,3.0,4.0,Seattle,98199,1850000,47
3633.0,6.0,6.0,Seattle,98199,2595000,51
759.0,2.0,2.0,Seattle,98101,580000,37
847.0,1.0,1.0,Seattle,98101,510000,34
1059.0,2.0,2.0,Seattle,98101,1996500,50
847.0,1.0,1.0,Seattle,98101,510000,33
507.0,1.0,1.0,Seattle,98101,483000,48
690.0,1.0,1.0,Seattle,98101,636000,46
4125.0,3.0,2.0,Seattle,98101,7850000,50
648.0,1.0,1.0,Seattle,98101,450000,53
648.0,1.0,1.0,Seattle,98101,450000,36
613.0,1.0,1.0,Seattle,98101,585250,41
915.0,1.0,1.0,Seattle,98101,1000000,50
738.0,1.0,1.0,Seattle,98101,429000,43
724.0,1.0,2.0,Seattle,98101,395000,57
758.0,1.0,1.0,Seattle,98101,670000,57
1368.0,2.0,2.0,Seattle,98101,1200000,35
301.0,1.0,,Seattle,98101,340000,51
660.0,1.0,1.0,Seattle,98101,325000,30
987.0,2.0,2.0,Seattle,98101,560000,30
770.0,1.0,1.0,Seattle,98101,1500000,31
579.0,1.0,1.0,Seattle,98101,575000,37
1315.0,2.0,2.0,Seattle,98101,640000,49
527.0,1.0,1.0,Seattle,98101,220000,47
1041.0,2.0,2.0,Seattle,98101,1372012,36
962.0,2.0,2.0,Seattle,98101,879000,35
1151.0,1.0,1.0,Seattle,98101,1800000,51
846.0,1.0,1.0,Seattle,98101,600000,57
846.0,1.0,1.0,Seattle,98101,600000,59
1004.0,2.0,2.0,Seattle,98101,585000,40
750.0,1.0,1.0,Seattle,98101,435000,36
1010.0,1.0,2.0,Seattle,98101,991440,46
1315.0,2.0,3.0,Seattle,98101,739000,42
1607.0,2.0,2.0,Seattle,98101,1225000,32
1549.0,2.0,2.0,Seattle,98101,1569960,55
795.0,1.0,,Seattle,98101,565000,42
940.0,1.0,2.0,Seattle,98101,750000,42
1455.0,2.0,3.0,Seattle,98101,1329960,31
1549.0,2.0,2.0,Seattle,98101,1641960,39
1770.0,3.0,3.0,Seattle,98101,1810560,50
1736.0,2.0,2.0,Seattle,98102,1850000,58
2840.0,2.0,4.0,Seattle,98102,1340000,56
0.0,,,Seattle,98102,3150000,56
664.0,1.0,1.0,Seattle,98102,319900,47
1163.0,2.0,2.0,Seattle,98102,665000,57
557.0,1.0,1.0,Seattle,98102,300000,44
2363.0,2.5,2.0,Seattle,98102,3000000,53
1544.0,3.0,2.0,Seattle,98102,949000,39
2363.0,3.0,2.0,Seattle,98102,3000000,32
2363.0,2.0,2.0,Seattle,98102,3000000,53
2254.0,4.0,3.0,Seattle,98102,1595000,60
3750.0,4.0,4.0,Seattle,98102,1965000,49
864.0,1.0,2.0,Seattle,98102,545000,56
835.0,2.0,1.0,Seattle,98102,560000,41
1790.0,4.0,3.0,Seattle,98102,1000000,45
3457.0,4.0,4.0,Seattle,98102,3200000,48
1443.0,2.0,3.0,Seattle,98102,960000,38
1196.0,2.0,2.0,Seattle,98102,785000,41
1763.0,3.0,3.0,Seattle,98102,945000,58
1730.0,2.5,3.0,Seattle,98102,945000,43
